source,medium,title,url,date,verdict,label,country,keywords,label_clean,title_clean,title_length,word_count
PolitiFact,fact-check,James Clyburn,https://www.politifact.com/personalities/james-clyburn/,"By Louis Jacobson • September 9, 2025","“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",Fake,,"james, clyburn",Fake,James Clyburn,13,2
PolitiFact,fact-check,West Virginians For Health Freedom,https://www.politifact.com/personalities/west-virginians-for-health-freedom/,"By Hope Karnopp • August 15, 2025",“Vaccine makers are exempt from all liability for vaccine injury and death.”,Fake,,"west, virginians, for, health, freedom",Fake,West Virginians For Health Freedom,34,5
PolitiFact,fact-check,Robert F. Kennedy Jr.,https://www.politifact.com/personalities/robert-f-kennedy-jr/,"By Madison Czopek • July 29, 2025",“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Fake,,"robert, f., kennedy, jr.",Fake,Robert F. Kennedy Jr.,21,4
PolitiFact,fact-check,Instagram posts,https://www.politifact.com/personalities/instagram-posts/,"By Amy Sherman • July 28, 2025","“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",Fake,,"instagram, posts",Fake,Instagram posts,15,2
PolitiFact,fact-check,Mike Johnson,https://www.politifact.com/personalities/mike-johnson/,"By Gabrielle Lazor • July 24, 2025","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Fake,,"mike, johnson",Fake,Mike Johnson,12,2
PolitiFact,fact-check,Josh Hawley,https://www.politifact.com/personalities/josh-hawley/,"By Louis Jacobson • July 21, 2025",“The FBI tapped my phone” and those of other senators.,Fake,,"josh, hawley",Fake,Josh Hawley,11,2
PolitiFact,fact-check,Rick Scott,https://www.politifact.com/personalities/rick-scott/,"By Louis Jacobson • June 27, 2025",Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Fake,,"rick, scott",Fake,Rick Scott,10,2
PolitiFact,fact-check,Amy Klobuchar,https://www.politifact.com/personalities/amy-klobuchar/,"By Ella Moore • June 27, 2025","People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",Fake,,"amy, klobuchar",Fake,Amy Klobuchar,13,2
PolitiFact,fact-check,Robert Ortt,https://www.politifact.com/personalities/robert-ortt/,"By Loreben Tuquero • June 24, 2025","During Gov. Hochul’s tenure, there has been “more crime on our streets.”",Fake,,"robert, ortt",Fake,Robert Ortt,11,2
PolitiFact,fact-check,Sean Hannity,https://www.politifact.com/personalities/sean-hannity/,"By Louis Jacobson • May 21, 2025","There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Fake,,"sean, hannity",Fake,Sean Hannity,12,2
PolitiFact,fact-check,Katherine Clark,https://www.politifact.com/personalities/katherine-clark/,"By Amy Sherman • May 7, 2025",“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Fake,,"katherine, clark",Fake,Katherine Clark,15,2
PolitiFact,fact-check,Michael Whatley,https://www.politifact.com/personalities/michael-whatley/,"By Louis Jacobson • May 5, 2025",Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Fake,,"michael, whatley",Fake,Michael Whatley,15,2
PolitiFact,fact-check,U.S. Energy Department,https://www.politifact.com/personalities/us-energy-department/,"By Paul Specht • April 24, 2025","“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",Fake,,"u.s., energy, department",Fake,U.S. Energy Department,22,3
PolitiFact,fact-check,TikTok posts,https://www.politifact.com/personalities/tiktok-posts/,"By Loreben Tuquero • April 22, 2025",Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,Fake,,"tiktok, posts",Fake,TikTok posts,12,2
PolitiFact,fact-check,Joseph Ladapo,https://www.politifact.com/personalities/joseph-ladapo/,"By Grace Abels • April 1, 2025",Every school vaccine mandate “drips” with “slavery.”,Fake,,"joseph, ladapo",Fake,Joseph Ladapo,13,2
PolitiFact,fact-check,James Uthmeier,https://www.politifact.com/personalities/james-uthmeier/,"By Jeff Cercone • March 21, 2025",The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,Fake,,"james, uthmeier",Fake,James Uthmeier,14,2
PolitiFact,fact-check,Chris Murphy,https://www.politifact.com/personalities/chris-murphy/,"By Louis Jacobson • March 20, 2025","Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Fake,,"chris, murphy",Fake,Chris Murphy,12,2
PolitiFact,fact-check,Gavin Newsom,https://www.politifact.com/personalities/gavin-newsom/,"By Hope Karnopp • March 11, 2025",“Democrats have voted for national independent redistricting. Republicans have not.”,Fake,,"gavin, newsom",Fake,Gavin Newsom,12,2
PolitiFact,fact-check,Americans for Prosperity,https://www.politifact.com/personalities/americans-prosperity/,"By D.L. Davis • March 3, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Fake,,"americans, for, prosperity",Fake,Americans for Prosperity,24,3
PolitiFact,fact-check,Threads posts,https://www.politifact.com/personalities/threads-posts/,"By Madison Czopek • February 9, 2025",The official U.S. government website erased sections of the U.S. Constitution without amending it.,Fake,,"threads, posts",Fake,Threads posts,13,2
PolitiFact,fact-check,John Blust,https://www.politifact.com/personalities/john-blust/,"By Caleb McCullough • January 21, 2025",“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,Fake,,"john, blust",Fake,John Blust,10,2
PolitiFact,fact-check,Ken Martin,https://www.politifact.com/personalities/ken-martin/,"By Caleb McCullough • January 14, 2025",Texas Republicans held one hearing on flood response but eight hearings on redistricting,Fake,,"ken, martin",Fake,Ken Martin,10,2
PolitiFact,fact-check,Josh Stein,https://www.politifact.com/personalities/josh-stein/,,“Guns are the leading cause of death for children in North Carolina.”,Fake,,"josh, stein",Fake,Josh Stein,10,2
PolitiFact,fact-check,Francesca Hong,https://www.politifact.com/personalities/francesca-hong/,,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Fake,France,"francesca, hong",Fake,Francesca Hong,14,2
PolitiFact,fact-check,Benjamin Netanyahu,https://www.politifact.com/personalities/benjamin-netanyahu/,,“There is no starvation in Gaza.”,Fake,,"benjamin, netanyahu",Fake,Benjamin Netanyahu,18,2
PolitiFact,fact-check,Markwayne Mullin,https://www.politifact.com/personalities/markwayne-mullin/,,The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Fake,,"markwayne, mullin",Fake,Markwayne Mullin,16,2
PolitiFact,fact-check,Ritchie Torres,https://www.politifact.com/personalities/ritchie-torres/,,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Fake,,"ritchie, torres",Fake,Ritchie Torres,14,2
PolitiFact,fact-check,U.S. Trade Representative,https://www.politifact.com/personalities/us-trade-representative/,,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",Fake,,"u.s., trade, representative",Fake,U.S. Trade Representative,25,3
PolitiFact,fact-check,Howard Lutnick,https://www.politifact.com/personalities/howard-lutnick/,,Tariffs are “going to pay off our deficit.”,Fake,,"howard, lutnick",Fake,Howard Lutnick,14,2
PolitiFact,fact-check,Lori Chavez-DeRemer,https://www.politifact.com/personalities/lori-chavez-deremer/,,"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Fake,,"lori, chavez-deremer",Fake,Lori Chavez-DeRemer,19,2
PolitiFact,fact-check,Kevin Hassett,https://www.politifact.com/personalities/kevin-hassett/,,"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Fake,,"kevin, hassett",Fake,Kevin Hassett,13,2
PolitiFact,fact-check,Jon Favreau,https://www.politifact.com/personalities/jon-favreau/,,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Fake,,"jon, favreau",Fake,Jon Favreau,11,2
PolitiFact,fact-check,Scott Jennings,https://www.politifact.com/personalities/scott-jennings/,,Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Fake,,"scott, jennings",Fake,Scott Jennings,14,2
PolitiFact,fact-check,Elizabeth Warren,https://www.politifact.com/personalities/elizabeth-warren/,,"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Fake,,"elizabeth, warren",Fake,Elizabeth Warren,16,2
PolitiFact,fact-check,Occupy Democrats,https://www.politifact.com/personalities/occupy-democrats/,,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Fake,,"occupy, democrats",Fake,Occupy Democrats,16,2
PolitiFact,fact-check,John Thune,https://www.politifact.com/personalities/john-thune/,,"“A lot of times, health care comes with a job.”",Fake,,"john, thune",Fake,John Thune,10,2
PolitiFact,fact-check,Facebook posts,https://www.politifact.com/personalities/facebook-posts/,,“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,Fake,,"facebook, posts",Fake,Facebook posts,14,2
PolitiFact,fact-check,Josh Schoemann,https://www.politifact.com/personalities/josh-schoemann/,,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",Fake,,"josh, schoemann",Fake,Josh Schoemann,14,2
PolitiFact,fact-check,American Action Network,https://www.politifact.com/personalities/american-action-network/,,The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,Fake,,"american, action, network",Fake,American Action Network,23,3
PolitiFact,fact-check,Mike Lee,https://www.politifact.com/personalities/mike-lee/,,The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,Fake,,"mike, lee",Fake,Mike Lee,8,2
PolitiFact,fact-check,Liz Oyer,https://www.politifact.com/personalities/liz-oyer/,,“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,Fake,,"liz, oyer",Fake,Liz Oyer,8,2
PolitiFact,fact-check,Russell Vought,https://www.politifact.com/personalities/russell-vought/,,“One out of every $5 or $6 in Medicaid (payments) is improper.”,Fake,,"russell, vought",Fake,Russell Vought,14,2
PolitiFact,fact-check,Kathy Hochul,https://www.politifact.com/personalities/kathy-hochul/,,The state budget contains the largest middle class tax cut in 70 years.,Fake,,"kathy, hochul",Fake,Kathy Hochul,12,2
PolitiFact,fact-check,Viral image,https://www.politifact.com/personalities/viral-image/,,Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,Fake,,"viral, image",Fake,Viral image,11,2
PolitiFact,fact-check,Brenden Jones,https://www.politifact.com/personalities/brenden-jones/,,“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,Fake,,"brenden, jones",Fake,Brenden Jones,13,2
PolitiFact,fact-check,Karoline Leavitt,https://www.politifact.com/personalities/karoline-leavitt/,,President Donald Trump’s tax and spending bill “does not add to the deficit.”,Fake,,"karoline, leavitt",Fake,Karoline Leavitt,16,2
PolitiFact,fact-check,Robert Reich,https://www.politifact.com/personalities/robert-reich/,,"While serving in Congress, Transportation Secretary Sean Duffy “voted against upgrading air traffic control systems.”",Fake,,"robert, reich",Fake,Robert Reich,12,2
PolitiFact,fact-check,Bernie Sanders,https://www.politifact.com/personalities/bernie-sanders/,,"“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",Fake,,"bernie, sanders",Fake,Bernie Sanders,14,2
PolitiFact,fact-check,Alex Jones,https://www.politifact.com/personalities/alex-jones/,,"Un vídeo muestra al presidente francés, Emmanuel Macron, al primer ministro del Reino Unido, Keir Starmer, y al canciller alemán, Friedrich Merz, con una bolsa de cocaína tras visitar al presidente ucraniano, Volodymyr Zelenskyy.",Fake,,"alex, jones",Fake,Alex Jones,10,2
PolitiFact,fact-check,Marcia Morey,https://www.politifact.com/personalities/marcia-morey/,,“Google caved in to Trump. They erased Black History Month from the calendar.”,Fake,,"marcia, morey",Fake,Marcia Morey,12,2
PolitiFact,fact-check,Pam Bondi,https://www.politifact.com/personalities/pam-bondi/,,"En los primeros 100 días del presidente Donald Trump, las incautaciones de fentanilo salvaron entre ""119 millones"" y ""258 millones"" de vidas.",Fake,,"pam, bondi",Fake,Pam Bondi,9,2
PolitiFact,fact-check,Charles Blow,https://www.politifact.com/personalities/charles-blow/,,“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,Fake,,"charles, blow",Fake,Charles Blow,12,2
PolitiFact,fact-check,Jared Moskowitz,https://www.politifact.com/personalities/jared-moskowitz/,,Canadian tourism to Florida has declined by 80%.,Fake,,"jared, moskowitz",Fake,Jared Moskowitz,15,2
PolitiFact,fact-check,Eric Swalwell,https://www.politifact.com/personalities/eric-swalwell/,,"""Republicans just voted in the House Judiciary Committee to allow Trump to DEPORT U.S. citizens to a foreign country.""",Fake,,"eric, swalwell",Fake,Eric Swalwell,13,2
PolitiFact,fact-check,Pete Hegseth,https://www.politifact.com/personalities/pete-hegseth/,,"The federal government’s Women, Peace and Security program is a “Biden initiative.”",Fake,,"pete, hegseth",Fake,Pete Hegseth,12,2
PolitiFact,fact-check,Charles Schumer,https://www.politifact.com/personalities/charles-schumer/,,"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",Fake,,"charles, schumer",Fake,Charles Schumer,15,2
PolitiFact,fact-check,Brian Tyler Cohen,https://www.politifact.com/personalities/brian-tyler-cohen/,,Trump “just denied North Carolina’s request for FEMA relief from Hurricane Helene.”,Fake,,"brian, tyler, cohen",Fake,Brian Tyler Cohen,17,3
PolitiFact,fact-check,Moms Demand Action for Gun Sense In America,https://www.politifact.com/personalities/moms-demand-action-gun-sense-america/,,“Gun violence is the leading killer of college-aged people in the U.S.”,Fake,,"moms, demand, action, for, gun, sense, in, america",Fake,Moms Demand Action for Gun Sense In America,43,8
PolitiFact,fact-check,Michael Lawler,https://www.politifact.com/personalities/michael-lawler/,,"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",Fake,,"michael, lawler",Fake,Michael Lawler,14,2
PolitiFact,fact-check,Byron Donalds,https://www.politifact.com/personalities/byron-donalds/,,"Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",Fake,,"byron, donalds",Fake,Byron Donalds,13,2
PolitiFact,fact-check,Tim Walz,https://www.politifact.com/personalities/tim-walz/,,"“Less than half of Americans have $1,000 in savings.”",Fake,,"tim, walz",Fake,Tim Walz,8,2
PolitiFact,fact-check,Brooke Rollins,https://www.politifact.com/personalities/brooke-rollins/,,“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,Fake,,"brooke, rollins",Fake,Brooke Rollins,14,2
PolitiFact,fact-check,Ruben Gallego,https://www.politifact.com/personalities/ruben-gallego/,,Men “have the lowest college attainment rate ever.”,Fake,,"ruben, gallego",Fake,Ruben Gallego,13,2
PolitiFact,fact-check,Cory Booker,https://www.politifact.com/personalities/cory-booker/,,"""The consumer confidence in this country has gone way down.""",Fake,,"cory, booker",Fake,Cory Booker,11,2
PolitiFact,fact-check,Marjorie Taylor Greene,https://www.politifact.com/personalities/marjorie-taylor-greene/,,"On PBS, ""they now have drag queen storytime instead of good old ‘Sesame Street.’""",Fake,,"marjorie, taylor, greene",Fake,Marjorie Taylor Greene,22,3
PolitiFact,fact-check,Sydney Batch,https://www.politifact.com/personalities/sydney-batch/,,"North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”",Fake,,"sydney, batch",Fake,Sydney Batch,12,2
PolitiFact,fact-check,Susan Crawford,https://www.politifact.com/personalities/susan-crawford/,,"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",Fake,USA,"susan, crawford",Fake,Susan Crawford,14,2
PolitiFact,fact-check,Nick LaLota,https://www.politifact.com/personalities/nick-lalota/,,"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",Fake,,"nick, lalota",Fake,Nick LaLota,11,2
PolitiFact,fact-check,Ian Miles Cheong,https://www.politifact.com/personalities/ian-miles-cheong/,,"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",Fake,,"ian, miles, cheong",Fake,Ian Miles Cheong,16,3
PolitiFact,fact-check,Harriet Hageman,https://www.politifact.com/personalities/harriet-hageman/,,The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,Fake,,"harriet, hageman",Fake,Harriet Hageman,15,2
PolitiFact,fact-check,Ro Khanna,https://www.politifact.com/personalities/ro-khanna/,,“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,Fake,,"ro, khanna",Fake,Ro Khanna,9,2
PolitiFact,fact-check,Brad Schimel,https://www.politifact.com/personalities/brad-schimel/,,“Eliminate school choice” is on Susan Crawford’s agenda.,Fake,,"brad, schimel",Fake,Brad Schimel,12,2
PolitiFact,fact-check,A Better Wisconsin Together,https://www.politifact.com/personalities/better-wisconsin-together/,,“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,Fake,,"a, better, wisconsin, together",Fake,A Better Wisconsin Together,27,4
PolitiFact,fact-check,Laura Loomer,https://www.politifact.com/personalities/laura-loomer/,,U.S. Agency for International Development subsidized CNN and MSNBC hosts’ salaries.,Fake,,"laura, loomer",Fake,Laura Loomer,12,2
PolitiFact,fact-check,Larry Kudlow,https://www.politifact.com/personalities/larry-kudlow/,,Elon Musk’s Department of Government Efficiency is “polling very well. It’s very popular.”,Fake,,"larry, kudlow",Fake,Larry Kudlow,12,2
PolitiFact,fact-check,Cavalier Johnson,https://www.politifact.com/personalities/cavalier-johnson/,,"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",Fake,,"cavalier, johnson",Fake,Cavalier Johnson,16,2
PolitiFact,fact-check,Joel Kitchens,https://www.politifact.com/personalities/joel-kitchens/,,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,Fake,,"joel, kitchens",Fake,Joel Kitchens,13,2
PolitiFact,fact-check,Kevin O'Leary,https://www.politifact.com/personalities/kevin-oleary/,,“We've never audited government for 100 years.”,Fake,,"kevin, o'leary",Fake,Kevin O'Leary,13,2
PolitiFact,fact-check,Pete Buttigieg,https://www.politifact.com/personalities/pete-buttigieg/,,"“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""",Fake,,"pete, buttigieg",Fake,Pete Buttigieg,14,2
PolitiFact,fact-check,Patty Murray,https://www.politifact.com/personalities/patty-murray/,,“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,Fake,,"patty, murray",Fake,Patty Murray,12,2
PolitiFact,fact-check,Mario Nawfal,https://www.politifact.com/personalities/mario-nawfal/,,Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,Fake,,"mario, nawfal",Fake,Mario Nawfal,12,2
PolitiFact,fact-check,Tommy Tuberville,https://www.politifact.com/personalities/tommy-tuberville/,,"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Fake,,"tommy, tuberville",Fake,Tommy Tuberville,16,2
PolitiFact,fact-check,Marco Rubio,https://www.politifact.com/personalities/marco-rubio/,,On support for U.S. Agency for International Development,Fake,,"marco, rubio",Fake,Marco Rubio,11,2
PolitiFact,fact-check,Randy Fine,https://www.politifact.com/personalities/randy-fine/,,Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,Fake,,"randy, fine",Fake,Randy Fine,10,2
PolitiFact,fact-check,Brian Mast,https://www.politifact.com/personalities/brian-mast/,,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",Fake,,"brian, mast",Fake,Brian Mast,10,2
PolitiFact,fact-check,Ashley Moody,https://www.politifact.com/personalities/ashley-moody/,,"The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”",Fake,,"ashley, moody",Fake,Ashley Moody,12,2
PolitiFact,fact-check,Ron Johnson,https://www.politifact.com/personalities/ron-johnson/,,We’re one of the very few nations that allowed birthright citizenship.”,Fake,,"ron, johnson",Fake,Ron Johnson,11,2
PolitiFact,fact-check,Adam Schiff,https://www.politifact.com/personalities/adam-schiff/,,"“As a Californian, we have given more to the recovery of other states than any other state in the union.”",Fake,,"adam, schiff",Fake,Adam Schiff,11,2
PolitiFact,fact-check,Roy Cooper,https://www.politifact.com/personalities/roy-cooper/,,North Carolina Republicans “took money out of western North Carolina” with Hurricane Helene relief bill.,Fake,,"roy, cooper",Fake,Roy Cooper,10,2
PolitiFact,fact-check,Common Cause,https://www.politifact.com/personalities/common-cause/,,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,Fake,,"common, cause",Fake,Common Cause,12,2
PolitiFact,fact-check,Lisa Murkowski,https://www.politifact.com/personalities/lisa-murkowski/,,"""Our nation’s tallest mountain … has been called Denali for thousands of years.""",Fake,,"lisa, murkowski",Fake,Lisa Murkowski,14,2
PolitiFact,fact-check,Robin Vos,https://www.politifact.com/personalities/robin-vos/,,"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",Fake,,"robin, vos",Fake,Robin Vos,9,2
PolitiFact,fact-check,Joe Biden,https://www.politifact.com/personalities/joe-biden/,,“The Equal Rights Amendment has become part of our Constitution.”,Fake,,"joe, biden",Fake,Joe Biden,9,2
PolitiFact,fact-check,Donald Trump Jr.,https://www.politifact.com/personalities/donald-trump-jr/,,California wildfires have “nothing to do with climate change.”,Fake,,"donald, trump, jr.",Fake,Donald Trump Jr.,16,3
PolitiFact,fact-check,Dana Loesch,https://www.politifact.com/personalities/dana-loesch/,,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,Fake,,"dana, loesch",Fake,Dana Loesch,11,2
PolitiFact,fact-check,Tony Evers,https://www.politifact.com/personalities/tony-evers/,,"“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""",Fake,,"tony, evers",Fake,Tony Evers,10,2
PolitiFact,fact-check,More Perfect Union,https://www.politifact.com/personalities/more-perfect-union/,,"“One billionaire couple owns almost all the water in California.""",Fake,,"more, perfect, union",Fake,More Perfect Union,18,3
PolitiFact,fact-check,Grok AI,https://www.politifact.com/personalities/grok-ai/,,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",Fake,,"grok, ai",Fake,Grok AI,7,2
